符号：拉丁	/th
符号：拉丁	/ts
符号：拉丁	/tz
符号：拉丁	/TZ
符号：拉丁	/ue
符号：拉丁	/vy
符号：拉丁	/VY
符号：拉丁	/ww
符号：拉丁	/num
符号：上标、下标	/sb
符号：上标、下标	/xb
符号：希腊	/xl
符号：希腊	/xld
符号：俄语	/ey
符号：俄语	/eyd
符号：月份	/yf
符号：五十音	/iro
符号：假名	/jm
符号：假名	/pjm
符号：假名	/jmk
符号：假名	/jmg
符号：假名	/jms
符号：假名	/jmz
符号：假名	/jmt
符号：假名	/jmd
符号：假名	/jmn
符号：假名	/jmh
符号：假名	/jmb
符号：假名	/jmp
符号：假名	/jmm
符号：假名	/jmy
符号：假名	/jmr
符号：假名	/jmw
符号：假名	/jma
符号：假名	/jmi
符号：假名	/jmu
符号：假名	/jme
符号：假名	/jmo
符号：假名+圈	/jmq
符号：假名+半角	/jmbj
符号：韩文	/hw
符号：韩文+圈	/hwq
符号：韩文+弧	/hwh
符号：点号	/yd
符号：中英标点	/bdzy
符号：动物界	/dwj
符号：表情	/bq
符号：天气	/tq
符号：国旗	/gq
符号：手势	/ss
符号：按键	/aj
符号：特殊符号	/tsfh
符号：常用	/cy
符号：中华	/zh
符号：早餐	/zc
符号：串串	/cc
符号：体育器材	/tyqc
符号：运动员	/ydy
符号：动物脸	/dwl
符号：包包	/bb
符号：午餐/晚餐	/wc
符号：景点	/jd
符号：器官	/qg
符号：圆形	/yx
符号：公交车	/gjc
符号：纸币	/zb
符号：夜空	/yk
符号：自然	/zr
符号：娱乐	/yule
符号：宗教	/zj
符号：家鸡	/jj
符号：工具	/gj
符号：帽子	/mz
符号：桃心	/tx
符号：数码	/sm
符号：早点	/zd
符号：时分	/sf
符号：月亮	/yl
符号：服装	/fz
符号：水果	/sg
符号：植物	/zw
符号：乐器	/yq
符号：武器	/wq
符号：汽车	/qc
符号：火车	/hc
符号：奖牌	/jp
符号：球类	/ql
符号：甜点	/td
符号：十二生肖	/sesx
符号：节日色彩	/jrsc
符号：粗粮	/cl
符号：精灵	/jl
符号：船只	/cz
符号：花朵	/hd
符号：色彩	/sc
符号：叶子	/yz
符号：虫子	/chz
符号：血型	/xx
符号：西餐	/xc
符号：调料	/tl
符号：酒水	/js
符号：雪	/xue
符号：小零食	/xls
符号：电器	/dq
符号：鞋子	/exz
符号：颜色	/ys
符号：餐饮	/yp
符号：餐具	/cj
符号：发型	/fx
符号：鱼类	/eyl
符号：鸟类	/niao
符号：面包	/mb
符号：点心	/dx
符号：五角星	/wjx
符号：计数算筹数字符	/scsz
符号：横式算筹数字	/sch
符号：纵式算筹数字	/scz
符号：象形计数符号	/xxtj
符号：西方计数符号	/xftj
化学：元素周期表	/hx
化学：氢	/hxh
化学：氦	/hxhe
化学：锂	/hxli
化学：铍	/hxbe
化学：硼	/hxb
化学：碳	/hxc
化学：氮	/hxn
化学：氧	/hxo
化学：氟	/hxf
化学：氖	/hxne
化学：钠	/hxna
化学：镁	/hxmg
化学：铝	/hxal
化学：硅	/hxsi
化学：磷	/hxp
化学：硫	/hxs
化学：氯	/hxcl
化学：氩	/hxar
化学：钾	/hxk
化学：钙	/hxca
化学：钪	/hxsc
化学：钛	/hxti
化学：钒	/hxv
化学：铬	/hxcr
化学：锰	/hxmn
化学：铁	/hxfe
化学：钴	/hxco
化学：镍	/hxni
化学：铜	/hxcu
化学：锌	/hxzn
化学：镓	/hxga
化学：锗	/hxge
化学：砷	/hxas
化学：硒	/hxse
化学：溴	/hxbr
化学：氪	/hxkr
化学：铷	/hxrb
化学：锶	/hxsr
化学：钇	/hxy
化学：锆	/hxzr
化学：铌	/hxnb
化学：钼	/hxmo
化学：锝	/hxtc
化学：钌	/hxru
化学：铑	/hxrh
化学：钯	/hxpd
化学：银	/hxag
化学：镉	/hxcd
化学：铟	/hxin
化学：锡	/hxsn
化学：锑	/hxsb
化学：碲	/hxte
化学：碘	/hxi
化学：氙	/hxxe
化学：铯	/hxcs
化学：钡	/hxba
化学：镧	/hxla
化学：铈	/hxce
化学：镨	/hxpr
化学：钕	/hxnd
化学：钷	/hxpm
化学：钐	/hxsm
化学：铕	/hxeu
化学：钆	/hxgd
化学：铽	/hxtb
化学：镝	/hxdy
化学：钬	/hxho
化学：铒	/hxer
化学：铥	/hxtm
化学：镱	/hxyb
化学：镥	/hxlu
化学：铪	/hxhf
化学：钽	/hxta
化学：钨	/hxw
化学：铼	/hxre
化学：锇	/hxos
化学：铱	/hxir
化学：铂	/hxpt
化学：金	/hxau
化学：汞	/hxhg
化学：铊	/hxtl
化学：铅	/hxpb
化学：铋	/hxbi
化学：钋	/hxpo
化学：砹	/hxat
化学：氡	/hxrn
化学：钫	/hxfr
化学：镭	/hxra
化学：锕	/hxac
化学：钍	/hxth
化学：镤	/hxpa
化学：铀	/hxu
化学：镎	/hxnp
化学：钚	/hxpu
化学：镅	/hxam
化学：锔	/hxcm
化学：锫	/hxbk
化学：锎	/hxcf
化学：锿	/hxes
化学：镄	/hxfm
化学：钔	/hxmd
化学：锘	/hxno
化学：铹	/hxlr
化学：𬬻	/hxrf
化学：𬭊	/hxdb
化学：𬭳	/hxsg
化学：𬭛	/hxbh
化学：𬭶	/hxhs
化学：鿏	/hxmt
化学：𫟼	/hxds
化学：𬬭	/hxrg
化学：鿔	/hxcn
化学：鿭	/hxnh
化学：𫓧	/hxfl
化学：镆	/hxmc
化学：𫟷	/hxlv
化学：鿬	/hxts
化学：鿫	/hxog
数学：粗体	/sxc
数学：斜体	/sxx
数学：粗斜体	/sxz
数学：花体	/sxh
数学：花体粗体	/sxhc
数学：哥特体	/sxg
数学：哥特粗体	/sxgc
数学：双线体	/sxs
数学：无衬线体	/sxw
数学：无衬线粗体	/sxwc
数学：无衬线斜体	/sxwx
数学：无衬线粗斜体	/sxwz
数学：等宽体	/sxd
数学：希腊粗体	/xlc
数学：希腊斜体	/xlx
数学：希腊粗斜体	/xlz
数学：希腊无衬线粗体	/xlwc
数学：希腊无衬线粗斜体	/xlwz
化学式：(C₆H₁₀O₅)n	纤维素
化学式：(NH₄)₂SO₄	硫酸铵
化学式：2CaSO₄·H₂O	熟石膏
化学式：AgCl	氯化银
化学式：AgNO₃	硝酸银
化学式：Ag₂O	氧化银
化学式：Al(OH)₃	氢氧化铝
化学式：AlCl₃	氯化铝
化学式：Al₂(SO₄)₃	硫酸铝
化学式：Al₂O₃	三氧化二铝
化学式：Al₂O₃	氧化铝
化学式：Ba(OH)₂	氢氧化钡
化学式：BaCl₂	氯化钡
化学式：BaO	氧化钡
化学式：BaSO₄	硫酸钡
化学式：CH₃CH₂CH₂CH₃	丁烷
化学式：CH₃COOH	乙酸
化学式：CH₃COOH	醋酸
化学式：CH₃COOH	食醋
化学式：CH₃OH	甲醇
化学式：CH₄	甲烷
化学式：CO	一氧化碳
化学式：CO(NH₂)₂	尿素
化学式：CO₂	二氧化碳
化学式：CO₂	干冰
